lemma,count
учреждение,57
ханжар,57
хулизе,57
хъарахъ,57
гарацӏ,56
глагол,56
гӏезегӏан,56
загьру,56
квекӏен,56
лебаллъизе,56
разияб,56
рецц-бакъ,56
ритӏухълъизе,56
рукӏкӏел,56
рухӏчӏаголъи,56
сас,56
тӏамур,56
тӏел,56
тӏутӏ,56
хӏакъикъаталда,56
цӏвакизе,56
чӏучӏине,56
щегӏ,56
адабият,55
буртина,55
гӏунизе,55
дагьабго,55
жагъаллъизе,55
исана,55
кан,55
кьвагьдезе,55
мачӏу,55
мухӏканаб,55
рецц,55
рукӏа-рахъин,55
тохлъукье,55
хвасар,55
хъулухъчи,55
хӏатӏал,55
чӏалгӏине,55
шапакъат,55
бихъ-бихъизе,54
бохизе,54
группа,54
гъварид,54
гьари,54
гьединго,54
гьересияб,54
гӏакъилаб,54
зулму,54
кьал,54
кьватӏизе,54
кьегӏер,54
лъавуда,54
матӏу,54
мугӏалим,54
наслу,54
приставка,54
рахъалдехун,54
роль,54
сихӏ,54
таргьа,54
хеч,54
хьвазе,54
хӏажат,54
хӏелхӏедизе,54
цониги,54
чали,54
билъизе,53
бугӏизе,53
гьале,53
гӏарза,53
квегъизе,53
концерт,53
кор,53
кӏаз,53
кӏаркьен,53
мискинаб,53
мустахӏикъаб,53
пагьму,53
ризаб,53
ритӏухъ,53
ругьунаб,53
сапун,53
сах,53
свинабизе,53
солдат,53
тухум,53
тӏадкъазе,53
хъабарча,53
хӏакъ,53
цӏилъизе,53
чӏалу,53
щивав,53
анкьго,52
бадибчӏвазе,52
бегизабизе,52
битӏа-бишизабизе,52
боркьизе,52
буризе,52
гени,52
гогьдаризе,52
гъутӏби,52
гӏащтӏи,52
гӏолохъанчи,52
дагӏбадизе,52
доклад,52
жуба-гъубазе,52
карщ,52
куй,52
лекция,52
лъадалъ,52
мухӏканлъизе,52
нахъисеб,52
полковник,52
рии,52
рокьукълъизе,52
рукъи,52
салам,52
сокӏкӏине,52
стиль,52
хаслъизе,52
хинлъизабизе,52
хиралъизе,52
хъанч,52
хъатӏизе,52
хьвагӏезабизе,52
ццидалаб,52
чалу,52
чанагъ,52
чин,52
щекъер,52
ахӏмакъаб,51
бачахъизе,51
бугьтан,51
бурав,51
гордабигъ,51
гъалмагъир,51
гьадинаб,51
гьир,51
гӏажаибго,51
гӏасияб,51
гӏодобегӏан,51
добе-гьанибе,51
институт,51
иту,51
кваранаб,51
командир,51
кӏалтӏа,51
махӏрум,51
патрон,51
союз,51
студент,51
тасдикъ,51
тӏала,51
унтизабизе,51
художник,51
ххине,51
хӏара,51
хӏухьбахъи,51
цӏалкӏизе,51
цӏум,51
чӏанда,51
ахӏи,50
битӏ,50
бокьухъе,50
гьекъолдизе,50
гьимизе,50
гьод,50
гӏажаиблъизе,50
гӏужда,50
гӏунтӏизабизе,50
диван,50
киданиги,50
къачӏай,50
къуватаб,50
лагъ,50
макъала,50
мутӏигӏ,50
ракета,50
сипат-сурат,50
станок,50
сукӏизе,50
толь,50
тӏокӏ,50
хъущтӏизе,50
хӏинкъараб,50
цебехъан,50
чӏвазабизе,50
чӏинтӏизе,50
шуризе,50
батӏайиса,49
гучаб,49
гъеж,49
гьекъел,49
гӏагар,49
гӏагарда,49
гӏадаллъизе,49
заз,49
ирга,49
къацандизе,49
къваригӏел,49
къотӏ-къотӏизе,49
къулчӏизе,49
кӏвекӏизе,49
макьилъ,49
метер,49
мискинлъизе,49
нодо,49
нохъо,49
прибор,49
проект,49
роман,49
рукӏкӏен,49
сали,49
турут,49
хӏалтӏухъаби,49
цӏвакизабизе,49
чӏамучӏаб,49
чӏедераб,49
автобус,48
бежаризе,48
бечӏчӏизе,48
бомба,48
гъункизе,48
гьадингояб,48
гӏайибаб,48
гӏуцӏи,48
команда,48
къехь,48
лъангутӏи,48
маргьа,48
пункт,48
ритӏучӏ,48
сан,48
тушманлъизе,48
унго-унгояб,48
учуз,48
хвасарлъизе,48
хъвалхьине,48
хӏалхьи,48
хӏанчӏи,48
шар,48
щущазабизе,48
аваданаб,47
авал,47
ахӏи-хӏур,47
бачӏунеб,47
бигьалъизе,47
буцӏцӏине,47
гуми,47
гьабсагӏат,47
гьакибер,47
гӏадал,47
динияб,47
добегӏан,47
жиб,47
залимаб,47
камил,47
кватӏун,47
квачӏ,47
куцазе,47
къотӏаризе,47
кӏалагъоркье,47
лъукъизе,47
нагӏана,47
пахь,47
рахи,47
рикӏкӏалъизе,47
роцӏине,47
си,47
сихӏирлъизе,47
словарь,47
сурукъаб,47
такъсир,47
теория,47
тӏаса-масаго,47
ункъбукӏкӏине,47
хъазан,47
хӏаж,47
хӏелеко,47
хӏехь,47
цӏакъаб,47
цӏорозабизе,47
энергия,47
амру,46
берцинлъи,46
бихьинаб,46
гъадаро,46
гъал,46
гьеле,46
гӏергӏедизе,46
кар,46
ккезабизе,46
къей,46
къиса,46
кӏалтӏу,46
ланг,46
масала,46
сайгъат,46
сигнал,46
христиан,46
хъарсизе,46
хъахӏилаб,46
хӏайранлъизе,46
хӏакъир,46
чанахъан,46
шахматал,46
щакъи,46
авар,45
бакъизе,45
белъанхъизе,45
библиотека,45
бицалъизе,45
буюризе,45
гъалай,45
гьей,45
гӏодоцине,45
дандбитӏун,45
дурго,45
дургъизе,45
зал,45
камиллъизе,45
карта,45
къиризе,45
къуркьизе,45
кӏамури,45
машгьурлъизе,45
метр,45
мода,45
мугьру,45
паркъизе,45
раци,45
рекьи,45
рукӏкӏине,45
тамахлъизе,45
ургьиб,45
хисардизе,45
хутӏел,45
хъачӏлъизе,45
хьоп,45
хӏалакъаб,45
хӏеренлъизе,45
хӏурматияб,45
цӏехезе,45
эхетизе,45
автор,44
багьизе,44
бихьинал,44
ведро,44
вокьулев,44
гали,44
гъуни,44
гӏанлъизе,44
гӏахьалаб,44
гӏолилав,44
киса-кибего,44
кислота,44
литература,44
лъил,44
накъиш,44
норма,44
пашман,44
свак,44
собозе,44
таманча,44
тирилъизе,44
тӏолгоял,44
тӏупизе,44
хас,44
хехдаризе,44
хъудизе,44
хӏакимлъи,44
цех,44
цӏуни,44
чагӏи,44
чилла,44
балъголъи,43
бецӏцӏизе,43
гъулгъудизе,43
гьитӏин,43
дандеккунгутӏи,43
жавабчилъи,43
жен,43
жинс,43
космос,43
критика,43
курсал,43
кьенсер,43
лъикӏлъизабизе,43
мажгит,43
мурапа,43
огь,43
организация,43
орден,43
пархине,43
резин,43
рекӏарал,43
рикӏкӏадаб,43
секьизе,43
сурсат,43
такрар,43
тел,43
хахизе,43
хъухъадиро,43
хӏадураб,43
цӏалдезе,43
чӏабар,43
адаб-хъатир,42
ахбазан,42
беэнлъизе,42
гъаргъар,42
гъоркьияб,42
гьайбат,42
гӏалимчи,42
гӏасру,42
гӏицӏаб,42
жугьутӏал,42
квартира,42
къого,42
лъугьин,42
рогьел,42
собрание,42
совет,42
спорт,42
стакан,42
сцена,42
такрарлъизе,42
тӏогьилаб,42
угьизе,42
хадусеб,42
хъублъизабизе,42
цадахъаб,42
цузе,42
чӏухӏдаризе,42
электрикияб,42
бакӏалъул,41
банк,41
бетӏергьанлъи,41
биинабизе,41
букӏкӏине,41
варани,41
гвангъараб,41
